SAMPLEID,PROJECTCOD,SAMPLETYPE,X,Y,Z,ZONE,AnomalyID,StmNo,As_40PNB_p,Co_40PNB_p,Cu_40PNB_p,Cu_40U6D_p,Ni_40PNB_p,Pb_40PNB_p,Sn_40ZZZ_p,Zn_40PNB_p,DLAT_2020,DLONG_2020
PM401919,KIMBERLEY,STMSD,305829,7945034,0,AMG84-52,,1,-9999,-9999,10,0,-10,-10,-9999,-10,-18.57,127.16
PM401920,KIMBERLEY,STMSD,305243,7945247,0,AMG84-52,,4,-9999,-9999,10,0,-10,-10,-9999,-10,-18.57,127.15
PM401921,KIMBERLEY,STMSD,304415,7944993,0,AMG84-52,,4,-9999,-9999,10,0,-10,-10,-9999,-10,-18.57,127.14
PM401922,KIMBERLEY,STMSD,303646,7944698,0,AMG84-52,,4,-9999,-9999,10,0,-10,-10,-9999,-10,-18.57,127.14
PM401923,KIMBERLEY,STMSD,302783,7944424,0,AMG84-52,,4,-9999,-9999,10,0,-10,-10,-9999,-10,-18.58,127.13
PM401924,KIMBERLEY,STMSD,302049,7944074,0,AMG84-52,,4,-9999,-9999,10,0,-10,-10,-9999,-10,-18.58,127.12
PM401925,KIMBERLEY,STMSD,301395,7943784,0,AMG84-52,,1,-9999,-9999,10,0,-10,-10,-9999,-10,-18.58,127.11
PM401926,KIMBERLEY,STMSD,301678,7943692,0,AMG84-52,,2,-9999,-9999,10,0,-10,-10,-9999,-10,-18.58,127.12
PM401927,KIMBERLEY,STMSD,300819,7943243,0,AMG84-52,,4,-9999,-9999,10,0,-10,-10,-9999,-10,-18.59,127.11
PM401928,KIMBERLEY,STMSD,299691,7942861,0,AMG84-52,,1,-9999,-9999,10,0,-10,-10,-9999,-10,-18.59,127.1
PM401929,KIMBERLEY,STMSD,299854,7942596,0,AMG84-52,,4,-9999,-9999,10,0,-10,-10,-9999,-10,-18.59,127.1
PM401930,KIMBERLEY,STMSD,299380,7941626,0,AMG84-52,,0,-9999,-9999,0,0,0,0,-9999,0,-18.6,127.09
PM401931,KIMBERLEY,STMSD,298787,7940866,0,AMG84-52,,4,-9999,-9999,10,0,-10,-10,-9999,-10,-18.61,127.09
PM401932,KIMBERLEY,STMSD,298226,7940341,0,AMG84-52,,4,-9999,-9999,10,0,-10,-10,-9999,-10,-18.61,127.08
PM401933,KIMBERLEY,STMSD,297743,7940324,0,AMG84-52,,4,-9999,-9999,10,0,-10,-10,-9999,-10,-18.61,127.08
PM401934,KIMBERLEY,STMSD,297439,7940246,0,AMG84-52,,1,-9999,-9999,10,0,-10,-10,-9999,-10,-18.61,127.08
PM401935,KIMBERLEY,STMSD,297399,7939538,0,AMG84-52,,4,-9999,-9999,10,0,-10,-10,-9999,-10,-18.62,127.08
PM401936,KIMBERLEY,STMSD,296928,7938962,0,AMG84-52,,4,-9999,-9999,10,0,-10,-10,-9999,-10,-18.62,127.07
PM401937,KIMBERLEY,STMSD,296291,7938327,0,AMG84-52,,4,-9999,-9999,10,0,13,-10,-9999,-10,-18.63,127.07
PM401938,KIMBERLEY,STMSD,296092,7937560,0,AMG84-52,,4,-9999,-9999,10,0,-10,-10,-9999,-10,-18.64,127.06
PM401939,KIMBERLEY,STMSD,295834,7937622,0,AMG84-52,,1,-9999,-9999,10,0,-10,-10,-9999,-10,-18.64,127.06
PM401940,KIMBERLEY,STMSD,296217,7936946,0,AMG84-52,,2,-9999,-9999,10,0,-10,-10,-9999,-10,-18.64,127.06
PM401941,KIMBERLEY,STMSD,295803,7936759,0,AMG84-52,,4,-9999,-9999,10,0,-10,-10,-9999,-10,-18.64,127.06
PM401942,KIMBERLEY,STMSD,295152,7936124,0,AMG84-52,,4,-9999,-9999,10,0,-10,-10,-9999,-10,-18.65,127.05
PM401943,KIMBERLEY,STMSD,294425,7935336,0,AMG84-52,,4,-9999,-9999,10,0,-10,-10,-9999,-10,-18.66,127.05
PM401944,KIMBERLEY,STMSD,293729,7934836,0,AMG84-52,,0,-9999,-9999,0,0,0,0,-9999,0,-18.66,127.04
PM401945,KIMBERLEY,STMSD,293403,7934389,0,AMG84-52,,0,-9999,-9999,0,0,0,0,-9999,0,-18.66,127.04
